,Result
16885,1
28086,1
23947,1
21196,1
21773,1
13214,0
259,0
7270,0
7950,0
7876,0
18697,1
17426,1
22554,1
10852,0
4773,0
17781,1
3737,0
12962,0
18686,1
26610,1
4129,0
13308,0
5029,0
9210,0
4279,0
23759,1
498,0
26943,1
4014,0
15597,1
488,0
26554,1
23914,1
14916,1
157,0
22525,1
26386,1
14971,1
9617,0
23291,1
9970,0
3685,0
11680,0
13385,0
6989,0
26165,1
4860,0
13448,0
16232,1
12571,0
18601,1
6929,0
440,0
25593,1
13208,0
12555,0
358,0
10842,0
18947,1
6208,0
24752,1
16854,1
1617,0
27446,1
13355,0
463,0
4457,0
11546,0
26897,1
10451,0
3605,0
21502,1
12105,0
17280,1
17609,1
6582,0
19251,1
8348,0
26252,1
25210,1
7917,0
20438,1
17581,1
12845,0
21392,1
583,0
27289,1
5587,0
29207,1
21744,1
24025,1
6952,0
16626,1
22609,1
2828,0
19914,1
2035,0
7745,0
2339,0
15505,1
15678,1
16010,1
16952,1
12777,0
13351,0
17003,1
28102,1
6163,0
6298,0
2573,0
16722,1
6024,0
5056,0
19320,1
8309,0
4075,0
12373,0
13750,0
13306,0
7977,0
3044,0
28632,1
14918,1
5598,0
10674,0
25902,1
22037,1
4497,0
9686,0
9174,0
1644,0
20019,1
15276,1
21379,1
38,0
22473,1
20080,1
25844,1
985,0
19396,1
16495,1
14065,0
12651,0
12756,0
7134,0
14260,0
11671,0
7502,0
28311,1
1484,0
5841,0
28170,1
25177,1
7175,0
3363,0
7690,0
15943,1
267,0
8440,0
14421,0
21425,1
15009,1
5767,0
17087,1
8480,0
1431,0
28806,1
24763,1
1406,0
2146,0
19331,1
15000,1
1156,0
11173,0
17502,1
25857,1
24032,1
18972,1
25305,1
1213,0
22881,1
4574,0
19945,1
24794,1
13990,0
5430,0
6978,0
1741,0
21788,1
10743,0
20634,1
25427,1
10127,0
28879,1
8624,0
29244,1
23685,1
5143,0
4301,0
17164,1
20007,1
17710,1
6864,0
3648,0
16104,1
25100,1
20487,1
15695,1
24784,1
11455,0
6472,0
25162,1
10321,0
21783,1
4907,0
6375,0
26225,1
1231,0
4979,0
13403,0
7351,0
26199,1
22013,1
3636,0
9405,0
17260,1
26835,1
27025,1
8633,0
26646,1
17415,1
9276,0
28479,1
6069,0
13890,0
4035,0
21863,1
22298,1
21548,1
20877,1
8175,0
17075,1
22379,1
14948,1
15744,1
8603,0
23319,1
21508,1
7691,0
9904,0
15437,1
21974,1
14241,0
23633,1
27343,1
1750,0
21062,1
21058,1
4502,0
25467,1
10189,0
25512,1
21527,1
5844,0
25852,1
22790,1
22656,1
12442,0
16081,1
27618,1
23722,1
19352,1
28558,1
9577,0
10534,0
24344,1
28476,1
13235,0
10469,0
5035,0
29040,1
4730,0
28663,1
21355,1
23018,1
1567,0
4548,0
90,0
